club,sofifa_id,short_name,age,dob,height_cm,weight_kg
Wolfsberger AC,199440,M. Gollner,28,1990-12-22,185,80
Heart of Midlothian,199754,C. Dikamona,29,1990-06-23,187,86
Bolivia,199830,S. Galindo,27,1992-04-18,189,77
Servette FC,199891,C. Routis,29,1990-03-03,186,84
Colchester United,199916,T. Eastman,27,1991-10-21,191,88
FC Dallas,200670,M. Hernandez,27,1992-03-05,183,70
Ascoli,200701,G. Beretta,27,1992-03-14,185,83
Guangzhou R&F FC,201026,Yi Teng,29,1990-02-20,190,75
Philadelphia Union,201873,J. Bendik,30,1989-04-21,191,98
Shrewsbury,201958,E. Ebanks-Landell,26,1992-12-16,188,88
Virtus Entella,202514,F. Ardizzone,27,1992-02-17,180,78
Colorado Rapids,202866,N. Mezquida,27,1992-02-21,168,68
Plymouth Argyle,203048,J. Riley,27,1991-10-13,183,71
Portsmouth,203287,E. Harrison,25,1994-01-29,180,79
Swindon Town,203331,L. Isgrove,26,1993-01-12,173,72
FC Metz,203815,P. Delecroix,30,1988-10-14,185,76
Gillingham,203930,O. Cissé,28,1991-04-08,195,85
Livingston FC,204033,N. Devlin,25,1993-10-17,183,73
1. FC Kaiserslautern,204420,J. Sternberg,26,1992-10-19,182,77
FC Hansa Rostock,204492,P. Breier,27,1992-02-02,185,77
Tranmere Rovers,205019,J. Caprice,26,1992-11-11,179,73
Tiburones Rojos de Veracruz,205119,S. Rodríguez,26,1992-08-16,179,79
SG Dynamo Dresden,209193,P. Wiegers,29,1990-04-19,188,87
Gil Vicente FC,209367,Bruno,25,1994-03-16,195,83
Clermont Foot 63,209784,J. Phojo,26,1993-04-15,178,71
FC Chambly Oise,212950,G. Dequaire,28,1990-07-11,187,80
Rodez Aveyron Football,213110,P. Sané,27,1991-12-30,187,84
Colorado Rapids,213428,C. Irwin,30,1989-04-01,191,88
Atlético Bucaramanga,214104,H. Gómez,27,1992-04-21,174,76
SV Waldhof Mannheim,216359,D. Diring,27,1992-04-11,180,77
SV Waldhof Mannheim,216444,M. Gouaida,26,1993-05-15,178,72
FC Juárez,220452,E. Pérez,26,1993-04-28,188,73
Deportes Iquique,221316,M. Blázquez,28,1991-05-08,187,84
Unión Magdalena,221580,D. González,29,1990-06-04,190,86
Deportivo de La Coruña,223607,Luis Ruiz,27,1992-06-30,181,73
CD Aves,224152,Peu,26,1993-04-24,178,72
Sepsi OSK,225063,M. Simonovski,27,1992-01-02,185,73
Seattle Sounders FC,226801,S. Abdul-Salaam,27,1991-09-08,193,84
Cittadella,227223,A. Vita,26,1993-03-16,176,67
SønderjyskE,229083,C. Jakobsen,26,1993-03-27,189,84
Santa Clara,230777,Pablo,26,1992-12-18,175,67
Östersunds FK,231502,J. Hopcutt,27,1992-06-23,180,74
Once Caldas,231704,E. Ibargüen,27,1991-11-22,184,77
Chicago Fire,232166,F. Herbers,25,1993-08-17,183,75
Sanfrecce Hiroshima,232991,S. Inagaki,27,1991-12-25,175,70
Coquimbo Unido,234516,J. Soto,27,1992-04-20,175,75
Sanfrecce Hiroshima,235089,Y. Nogami,28,1991-04-20,180,72
Korona Kielce,237494,O. Gnjatić,27,1991-10-16,190,81
Viktoria Köln,238594,A. Dej,27,1992-02-06,174,74
Hallescher FC,238686,P. Sohm,27,1991-11-02,186,77
SpVgg Unterhaching,238961,M. Dombrowka,27,1992-03-24,180,77
CD Numancia,240035,Néstor Albiach,26,1992-08-18,187,84
Melbourne City FC,241970,H. Delbridge,27,1992-03-15,193,93
Shimizu S-Pulse,242692,K. Nakamura,26,1993-06-30,178,73
FC Sochaux-Montbéliard,243950,F. Ourega,26,1992-12-07,178,65
Accrington Stanley,244054,S. Finley,26,1992-08-04,170,68
Vegalta Sendai,246324,T. Ishihara,26,1992-12-17,172,67
US Salernitana 1919,247290,H. Memolla,26,1992-07-03,186,78
Audax Italiano,247853,R. Fuenzalida,26,1992-11-23,163,63
Rodez Aveyron Football,248781,P. Bardy,26,1992-08-27,182,71
Pogoń Szczecin,250939,D. Stipica,28,1991-05-30,189,79
Kaizer Chiefs,251408,S. Nurković,27,1992-06-13,187,80
Lillestrøm SK,49511,F. Kippe,41,1978-01-17,194,97
SK Brann,51694,H. Opdal,37,1982-06-11,188,91
Hokkaido Consadole Sapporo,53655,J. Bothroyd,37,1982-05-07,190,89
Wisła Kraków,105827,P. Brożek,36,1983-04-21,180,79
FC Schalke 04,107084,M. Langer,34,1985-01-06,195,93
Blackpool,111590,L. Feeney,32,1987-01-21,183,76
Liverpool,118794,A. Lonergan,35,1983-10-19,192,87
FSV Zwickau,122066,R. König,36,1983-06-02,190,93
FC København,125586,S. Andersen,37,1981-11-26,188,85
Castellammare di Stabia,138920,R. Vitiello,36,1983-05-08,176,72
Scunthorpe United,140442,A. Butler,35,1983-11-04,183,83
Viktoria Köln,144050,A. Bunjaku,35,1983-11-29,178,77
MKE Ankaragücü,144415,S. Ağçay,37,1981-09-22,176,72
Politehnica Iaşi,147825,C. Frăsinescu,34,1985-02-10,189,84
Lechia Gdańsk,148564,S. Peszko,34,1985-02-19,173,70
Viking FK,148731,A. Danielsen,34,1985-01-20,173,70
BK Häcken,151376,K. Arkivuo,36,1983-06-23,176,72
WSG Tirol,152126,F. Mader,36,1982-09-14,180,76
Port Vale,152456,S. Brown,34,1985-04-26,188,87
Gillingham,152483,G. Zakuani,33,1986-05-31,186,80
Mjøndalen IF,152603,O. Occéan,37,1981-10-23,185,86
FCSB (Steaua),154860,M. Roman,34,1984-10-16,175,71
Stabæk Fotball,155264,V. Demidov,32,1986-10-10,185,80
Piast Gliwice,155422,J. Szmatuła,38,1981-03-22,188,81
AC Horsens,155567,P. Nymann,36,1982-08-22,179,75
Aberdeen,155998,T. Černý,34,1985-04-10,184,83
Forest Green Rovers,156165,M. Mills,32,1986-07-14,191,82
Wycombe Wanderers,156313,A. El-Abd,34,1984-09-11,180,88
Wycombe Wanderers,156321,A. Akinfenwa,37,1982-05-10,178,110
Urawa Red Diamonds,156478,Y. Abe,37,1981-09-06,178,77
FC Juárez,156507,I. Vázquez,36,1982-12-14,182,80
Tiburones Rojos de Veracruz,157018,M. Hernández,36,1982-10-15,182,82
Oxford United,157482,J. Mackie,33,1985-09-28,173,71
Shrewsbury,158716,D. Edwards,33,1986-02-03,183,78
SKN St. Pölten,158937,R. Gartler,33,1985-10-21,184,78
RKC Waalwijk,162365,H. Drost,32,1987-01-21,183,80
Heart of Midlothian,162901,C. Doyle,34,1985-06-12,196,92
Club Atlético Talleres,162952,M. Caranta,40,1978-07-31,184,77
Southend United,163342,S. Cox,32,1987-04-28,181,70
Cheltenham Town,163351,L. Varney,36,1982-09-28,180,70
Lecce,163634,F. Cosenza,33,1986-02-05,187,87
ESTAC Troyes,163796,S. Darbion,35,1984-03-22,183,77
Fleetwood Town,163865,C. Morgan,34,1985-06-16,187,89
Oxford United,164465,T. McMahon,33,1986-03-24,180,72
La Berrichonne de Châteauroux,165269,R. Boukari,32,1987-04-25,187,84
Rochdale,167919,M. Done,30,1988-07-22,178,65
Al Hilal,168879,M. Al Shalhoub,38,1980-12-08,163,66
Sepsi OSK,168913,G. Karanović,31,1987-10-13,186,82
FC Lorient,169069,J. Martins Pereira,33,1986-01-30,182,76
Lincoln City,169461,M. O'Connor,31,1987-10-06,180,79
Melbourne City FC,169479,R. Griffiths,31,1988-03-10,187,86
Tranmere Rovers,169578,C. Woods,32,1987-02-05,180,73
Birmingham City,169609,J. Grounds,31,1988-02-27,185,87
Walsall,169619,G. Liddle,33,1986-06-15,185,79
Coventry City,169909,J. Brown,30,1989-05-07,175,68
Aberdeen,170082,S. Gleeson,30,1988-08-03,178,80
Shrewsbury,170286,S. Golbourne,31,1988-02-29,173,77
FC Thun,170785,G. Faivre,32,1987-02-20,188,83
FC Juárez,171391,E. Palos,33,1986-05-31,190,82
Yeni Malatyaspor,172872,M. Yıldırım,32,1987-05-18,170,68
Pordenone,173227,D. Semenzato,32,1987-01-23,180,72
TSV Hartberg,173480,A. Lienhart,33,1986-01-28,183,78
Extremadura UD,173484,Aitor,32,1986-08-23,181,73
Los Angeles FC,174572,R. Zelaya,30,1988-07-03,174,70
Hibernian,175316,L. Stevenson,31,1988-01-05,170,67
FC Hermannstadt,175866,S. Luchin,33,1986-03-04,185,82
SG Sonnenhof Großaspach,175963,T. Röttger,33,1985-07-12,176,76
Heart of Midlothian,176645,Z. Zlámal,33,1985-11-05,193,92
CD Universidad de Concepción,176902,L. Figueroa,36,1983-05-14,179,77
Club Atlético Aldosivi,176922,F. Assmann,33,1986-03-23,190,82
La Berrichonne de Châteauroux,177568,A. Raineau,33,1986-06-21,178,75
FC Juárez,177696,E. Brambila,33,1986-01-15,172,68
Málaga CF,178022,C. Gönen,31,1988-02-21,190,84
VVV-Venlo,178187,C. Kum,33,1985-09-13,182,82
Spezia,178312,D. Bassi,34,1985-04-12,190,83
Virtus Entella,178479,A. Paolucci,32,1986-11-23,176,72
Chemnitzer FC,178768,G. Sarmov,33,1985-09-07,180,75
Port Vale,179636,D. Worrall,29,1990-06-12,170,67
Tranmere Rovers,179856,D. Perkins,37,1982-06-21,168,76
Heart of Midlothian,179903,O. Bozanic,30,1989-01-08,177,75
FK Bodø/Glimt,180400,Isidoro,32,1986-08-01,180,71
Newcastle Jets,180740,N. Topor-Stanley,34,1985-03-11,191,90
1. FC Kaiserslautern,181149,A. Hainault,33,1986-06-17,184,80
Örebro SK,181298,M. Almebäck,31,1988-04-04,184,83
Melbourne City FC,181468,D. Bouzanis,28,1990-10-02,185,84
Newcastle Jets,181477,N. Boogaard,32,1986-08-14,188,88
1. FC Nürnberg,181733,A. Lukse,31,1987-11-08,187,82
Henan Jianye FC,182047,Wu Yan,30,1989-01-07,191,82
Tianjin Quanjian FC,182427,Yang Xu,32,1987-02-12,188,80
Mansfield Town,182944,N. Bishop,37,1981-08-07,186,81
Beijing Renhe FC,183007,Zhang Wenzhao,32,1987-05-28,177,65
Henan Jianye FC,183023,Sui Donglu,36,1983-06-21,194,88
TSV 1860 München,183344,T. Gebhart,30,1989-04-12,182,83
Blackburn Rovers,183347,J. Leutwiler,30,1989-04-25,192,80
Wycombe Wanderers,183449,J. Jacobson,32,1986-11-17,180,79
Stabæk Fotball,183499,Y. Amankwah,30,1988-07-07,194,92
Bristol Rovers,183517,A. Ogogo,29,1989-11-03,177,78
TSG 1899 Hoffenheim,183597,A. Stolz,35,1983-10-13,189,89
TSV 1860 München,183712,S. Mölders,34,1985-03-20,185,79
ADO Den Haag,184001,D. Gorter,31,1988-06-15,175,70
FC Seoul,184334,Song Jin Hyung,31,1987-08-13,175,65
Göztepe SK,184764,L. Schwechlen,30,1989-06-05,182,78
Raków Częstochowa,185038,M. Gliwa,31,1988-04-08,188,76
IF Elfsborg,185119,A. Dyer,29,1990-06-11,177,74
Piast Gliwice,185137,Aquino,28,1990-07-27,178,68
Djurgårdens IF,185438,N. Bärkroth,27,1992-01-19,172,75
Lincoln City,186112,J. Akinde,29,1989-07-08,188,87
Carlisle United,186122,B. Webster,32,1987-03-31,191,88
St. Mirren,186126,R. Flynn,30,1988-09-04,175,60
Mansfield Town,186198,J. Mellis,28,1991-01-08,181,69
Rochdale,186558,J. Ryan,30,1988-09-06,180,67
Portland Timbers,186721,C. Dielna,31,1987-12-14,183,86
IFK Norrköping,187113,L. Gerson,29,1990-02-05,187,76
Club Tijuana,187225,O. Mendoza,30,1988-10-28,173,72
Tiburones Rojos de Veracruz,187296,C. Gutiérrez,29,1990-02-03,166,69
Deportivo Toluca,187634,R. Ruiz,33,1986-01-14,175,72
Bristol Rovers,188490,L. Sercombe,29,1990-04-25,178,69
Randers FC,188807,K. Conboy,31,1987-10-15,185,77
SønderjyskE,188978,M. Pedersen,29,1989-07-31,184,87
Club Necaxa,189008,L. Pérez,30,1989-03-15,175,78
Wisła Kraków,189013,M. Buchalik,30,1989-02-03,190,83
SCR Altach,189237,E. Schreiner,30,1989-02-02,181,74
Hamburger SV,189387,T. Mickel,30,1989-04-19,185,84
Lillestrøm SK,189721,A. Smárason,30,1988-09-07,184,76
Fleetwood Town,189808,P. Madden,29,1990-03-04,183,76
Forest Green Rovers,189836,J. Mills,29,1989-10-30,175,70
Burton Albion,189865,D. Templeton,30,1989-01-07,176,63
Gillingham,189868,M. Marshall,32,1987-05-05,170,69
Sydney FC,190180,R. McGowan,29,1989-08-15,191,78
Pisa,190201,M. Minesso,29,1990-03-30,173,70
Burton Albion,190247,J. Brayford,31,1987-12-29,173,71
Sarpsborg 08 FF,190425,M. Abdellaoue,30,1988-08-01,181,74
FK Haugesund,190454,S. Ringstad,27,1991-08-29,188,80
Strømsgodset IF,190457,K. Tokstad,27,1991-07-05,185,84
Molde FK,190490,M. Bolly,28,1990-11-14,185,77
St. Mirren,190665,J. Obika,28,1990-09-12,183,76
FC Hermannstadt,190807,Yazalde,30,1988-09-21,180,75
DC United,190937,Q. Amarikwa,31,1987-10-29,175,81
Jeonbuk Hyundai Motors,191669,Jeong Hyuk,33,1986-05-21,175,70
Gençlerbirliği SK,192237,Y. Pehlivan,30,1989-01-05,184,70
KFC Uerdingen 05,192471,A. Matuszczyk,30,1989-02-14,183,73
Scunthorpe United,192473,L. Novak,30,1988-09-28,183,78
Moreirense FC,192528,Steven Vitória,32,1987-01-11,195,86
Cosenza,192853,M. Carretta,28,1990-11-23,178,75
Wisła Płock,192962,G. Kuświk,32,1987-05-23,181,75
Plymouth Argyle,192970,D. Mayor,28,1990-10-18,183,76
Wisła Płock,193087,P. Tomasik,31,1987-10-31,177,72
Aberdeen,193123,A. Taylor,28,1990-09-02,193,76
Scunthorpe United,193173,M. Lund,28,1990-11-21,183,76
Bristol Rovers,193187,K. Bennett,28,1990-09-09,165,61
Ascoli,193268,A. Gerbo,29,1989-11-09,177,70
Colchester United,193557,F. Nouble,27,1991-09-24,190,82
Castellammare di Stabia,193574,P. Branduani,30,1989-03-09,192,83
Pordenone,193638,G. Misuraca,29,1990-04-02,180,75
Portsmouth,193958,L. Brown,28,1990-08-10,183,79
FSV Zwickau,194035,N. Miatke,29,1990-01-30,178,76
Exeter City,194937,T. Parkes,27,1992-01-15,188,79
Pisa,194991,D. Di Quinzio,30,1989-04-28,178,69
Port Vale,195124,D. Amoo,28,1991-04-13,178,77
FC Zürich,196615,U. Bangura,31,1987-10-07,180,75
Al Ain FC,197008,M. Fayez,29,1989-10-06,177,69
Ulsan Hyundai FC,197831,J. Davidson,28,1991-06-29,180,72
Örebro SK,197983,M. Lorentzson,34,1984-07-21,179,72
FC Dallas,198007,E. Alexander,31,1988-04-14,185,75
Sporting Kansas City,198257,S. Sinovic,32,1987-01-28,178,77
Luton Town,198269,J. Jervis,27,1991-09-17,191,82
Beijing Sinobo Guoan FC,199088,Wang Gang,30,1989-02-17,188,81
Örebro SK,199118,V. Prodell,31,1988-02-29,190,86
Incheon United FC,199165,Yang Jun A,30,1989-06-13,188,83
SV Mattersburg,199197,P. Salomon,31,1988-06-10,179,70
Atlético de San Luis,199369,D. Escalante,29,1990-05-12,179,87
Wolfsberger AC,199535,M. Novak,28,1990-12-30,184,80
Örebro SK,199774,J. Bertilsson,31,1988-02-15,177,68
FC Hansa Rostock,199787,T. Öztürk,29,1989-07-26,191,87
Astra Giurgiu,200912,M. Răduț,29,1990-03-18,178,67
Extremadura UD,200931,Fran Cruz,28,1991-06-22,184,73
Livingston FC,200980,S. Lawless,28,1991-04-12,170,65
SC Preußen Münster,200989,M. Schulze Niehues,30,1988-11-11,192,90
Valenciennes FC,201019,M. Chergui,30,1988-07-02,179,71
TSV Hartberg,201891,D. Tadić,29,1990-05-11,177,77
Southend United,202033,S. McLaughlin,29,1990-06-14,175,77
CD Mirandés,202530,Alvaro Rey,29,1989-07-11,183,78
Swindon Town,202532,M. Doughty,26,1992-11-20,185,81
Sarpsborg 08 FF,202534,K. Larsen,27,1992-01-19,183,74
SKN St. Pölten,202893,R. Riski,27,1991-08-16,181,68
FC Seoul,203015,Lee Woong Hee,30,1988-07-18,182,78
Ranheim Fotball,203347,E. Tønne,28,1991-05-07,180,75
Eintracht Braunschweig,203456,M. Pfitzner,34,1984-08-28,183,81
Pescara,203649,A. Bruno,35,1983-07-04,180,70
FC Emmen,203845,L. Burnet,28,1991-01-11,170,65
SKN St. Pölten,203851,D. Drescher,29,1989-10-07,190,85
VVV-Venlo,203874,S. Scheimann,31,1987-11-03,181,76
RKC Waalwijk,203877,D. Maatsen,29,1990-01-30,183,71
Colchester United,204095,R. Jackson,28,1990-07-31,175,65
Wycombe Wanderers,204635,S. Jombati,31,1987-08-20,182,75
SKN St. Pölten,204689,I. Ouédraogo,30,1988-08-19,179,78
Gaz Metan Mediaş,205005,L. Droppa,30,1989-04-22,183,84
Pogoń Szczecin,205443,S. Benyamina,29,1990-03-02,189,79
Politehnica Iaşi,205549,Adrià Gallego,29,1990-04-09,184,75
Minnesota United FC,206157,L. Olum,34,1984-07-10,188,83
Sporting Kansas City,206249,N. Hasler,28,1991-04-05,175,78
Central Córdoba,207428,J. Valencia,27,1991-12-18,187,81
Servette FC,207538,A. Koro Koné,29,1989-07-05,178,74
Philadelphia Union,207619,W. Creavalle,28,1990-08-14,183,70
Tranmere Rovers,207620,C. Jennings,28,1991-01-29,183,72
Karlsruher SC,207659,L. Grozurek,27,1991-12-22,188,83
Zagłębie Lubin,207902,P. Tuszyński,29,1989-12-13,184,77
Wisła Kraków,207904,M. Mak,27,1991-11-14,172,60
CD Numancia,208507,Dani Barrio,32,1987-02-10,190,78
SC Preußen Münster,208723,J. Schauerte,31,1988-04-02,177,67
Clermont Foot 63,208885,A. N'Diaye,28,1991-06-14,179,67
SpVgg Unterhaching,208984,J. Müller,29,1989-08-04,182,75
Al Faisaly,209166,M. Malaeka,33,1986-05-21,185,73
Al Fateh,209177,T. Bu Haymid,31,1987-10-29,169,68
ADO Den Haag,209447,E. Hooi,27,1991-10-01,169,61
Dinamo Bucureşti,209719,Brito,31,1987-11-16,177,72
Kaizer Chiefs,209873,K. Moleko,29,1989-08-27,181,76
Racing Santander,210152,Iván Crespo,34,1984-12-10,188,83
Al Taawoun,210192,I. Al Zubaidi,29,1989-10-04,172,66
FC Botoşani,210240,R. Ofosu,27,1991-09-20,175,76
SG Sonnenhof Großaspach,210444,D. Imbongo Boele,29,1990-03-28,188,73
Al Faisaly,210783,A. Al Sahabi,32,1987-03-15,180,67
Al Hilal,210843,H. Kadish,26,1992-09-26,179,73
Lecce,211305,A. Tabanelli,29,1990-02-02,192,78
Racing Santander,211314,Nico Hidalgo,27,1992-04-30,178,68
Karlsruher SC,211720,M. Stiefler,30,1988-07-25,178,76
1. FC Kaiserslautern,211732,T. Thiele,27,1991-07-31,188,84
Wolverhampton Wanderers,211820,P. Ofosu-Ayeh,27,1991-09-15,181,81
Hallescher FC,211831,D. Mast,27,1992-02-15,186,79
Matsumoto Yamaga,211935,R. Nagai,28,1991-05-23,180,73
FCSB (Steaua),212046,A. Popa,30,1988-07-24,170,76
FC Seoul,212431,Kim Nam Chun,30,1989-04-19,184,78
Orlando City SC,212718,D. Powers,28,1991-02-14,180,80
Gyeongnam FC,213316,Lee Kwang Sun,29,1989-09-06,192,89
Ettifaq FC,213377,H. Al Hazaa,27,1991-08-08,176,64
Livingston FC,213566,C. Erskine,32,1987-02-08,185,76
Audax Italiano,213604,I. Vásquez,33,1985-08-13,170,70
CD Cobresal,213624,S. López,33,1985-09-14,187,85
CD Antofagasta,213626,F. Hurtado,36,1983-04-05,188,90
Cúcuta Deportivo,214144,D. Chica,38,1981-02-11,175,70
Jaguares de Córdoba,214172,F. Castillo,29,1990-03-18,174,70
América de Cali,214177,L. Paz,30,1988-09-08,175,70
Atlético Bucaramanga,214185,S. Romero,30,1988-11-22,175,70
CD Cobresal,214218,R. Bugueño,31,1987-10-02,175,74
Unión La Calera,214222,L. Giovini,37,1981-10-13,190,82
Jaguares de Córdoba,214445,D. López,27,1992-02-10,176,74
Rionegro Águilas,214489,M. Restrepo,38,1981-05-07,174,70
Rionegro Águilas,214503,L. Delgado,38,1980-10-26,187,85
Atlético Huila,214510,L. Mosquera,30,1989-05-25,175,68
Once Caldas,214518,L. Ochoa,34,1984-09-04,174,70
Curicó Unido,214587,J. Deschamps,35,1984-05-13,183,77
Atlético Bucaramanga,214608,A. Bernal,31,1988-06-03,184,80
FC Juárez,215081,G. Hachen,28,1990-10-16,165,62
Unión Española,215129,M. Dávila,27,1991-07-17,172,69
SK Brann,215540,G. Rólantsson Sørensen,26,1992-08-11,187,82
Sepsi OSK,215563,R. Dimitrov,30,1988-08-12,174,74
Lyngby BK,215695,L. Nielsen,32,1987-03-03,188,76
CD Antofagasta,216023,M. Lepe,28,1990-08-13,179,77
Curicó Unido,216048,G. Vargas,35,1983-12-08,173,74
Shanghai Greenland Shenhua FC,217160,Peng Xinli,27,1991-07-22,176,62
CD Universidad de Concepción,218182,G. Mencia,30,1988-07-05,179,78
Unión Española,219268,L. Pavez Contreras,31,1988-06-25,175,69
Clube Sport Marítimo,219279,L. Nequecaur,26,1992-07-19,192,87
FC Sochaux-Montbéliard,219471,C. Diedhiou,31,1988-01-08,191,76
Envigado FC,221381,L. Tipton,26,1992-07-28,183,78
FC Dallas,221488,R. Hollingshead,28,1991-04-16,185,82
Seattle Sounders FC,221503,H. Shipp,27,1991-11-07,175,66
Incheon United FC,221576,Kwak Hae Seong,27,1991-12-06,178,73
Toronto FC,221625,P. Mullins,27,1992-02-05,185,80
Sagan Tosu,221651,Ahn Yong Woo,27,1991-08-10,177,69
SCR Altach,221768,J. Zwischenbrugger,29,1990-06-16,187,80
Tianjin Quanjian FC,221819,Song Boxuan,29,1989-09-16,180,73
Guangzhou R&F FC,222172,Fan Yunlong,30,1989-03-15,180,75
Guangzhou R&F FC,222306,Ding Haifeng,27,1991-07-17,182,71
Jiangsu Suning FC,222350,Xie Pengfei,26,1993-06-29,181,73
Sangju Sangmu FC,222698,Park Dae Han,28,1991-05-01,173,70
Denizlispor,223020,M. Mbamba,30,1988-10-15,176,70
RKC Waalwijk,223227,K. Vermeulen,28,1990-11-20,188,71
Grenoble Foot 38,223444,I. Coulibaly,29,1989-07-30,183,68
Racing Club de Lens,223557,M. Madri,29,1990-04-09,176,65
CD Huachipato,223653,C. Jopia,27,1991-11-17,174,75
CF Fuenlabrada,223659,Borja Lázaro,31,1988-04-05,188,83
SCR Altach,223677,F. Jamnig,28,1990-11-03,183,70
FC Botoşani,223889,M. Ebenhofer,26,1992-07-29,180,73
Lincoln City,223902,T. Pett,27,1991-12-03,173,70
Shenzhen FC,224668,Xu Yang,32,1987-06-18,172,65
Guangzhou Evergrande Taobao FC,224702,Liu Dianzuo,29,1990-06-26,188,82
Bolivia,225708,R. Castro,29,1989-08-19,181,70
Alianza Petrolera,226723,L. Saldaña,29,1989-12-08,170,66
La Equidad,227377,J. García,30,1989-06-04,186,85
Torino,227668,S. Ichazo,27,1992-01-26,188,83
Slovenia,228169,N. Vidmar,30,1989-03-31,188,88
LKS Lodz,229072,L. Sekulski,28,1990-11-03,187,78
Walsall,229126,J. Clarke,29,1989-11-17,183,84
CD Universidad de Concepción,229445,G. Pacheco,30,1989-04-10,181,76
Avaí FC,230223,Sidnei Dalmeira,31,1988-02-29,185,76
Grêmio,230303,Marcelo Vildeia,35,1984-02-29,172,69
Chapecoense,230404,Benjamin Muscato,27,1992-02-29,182,71
CSA - AL,230418,Henrique Jardinel,31,1988-02-29,175,71
Fortaleza,230458,Paulito Zanon,27,1992-02-29,186,80
FCSB (Steaua),231728,I. Hora,30,1988-08-21,182,81
Atlético Bucaramanga,232070,R. Caballero,28,1990-10-31,183,80
Grimsby Town,232177,M. Ogbu,28,1991-02-07,185,78
Vegalta Sendai,232379,N. Ishihara,34,1984-08-14,173,62
Shimizu S-Pulse,232447,Y. Rokutan,32,1987-04-10,188,80
Vegalta Sendai,232452,K. Hachisuka,28,1990-07-20,180,75
FC Tokyo,232626,Oh Jae Suk,29,1990-01-04,178,74
Yokohama F. Marinos,232800,J. Izumisawa,27,1991-12-17,165,63
Cúcuta Deportivo,233043,A. Hinestroza,30,1988-08-28,180,81
Kawasaki Frontale,233156,S. Arai,30,1988-11-01,185,82
Oita Trinita,233182,K. Takayama,30,1988-07-08,174,67
Nagoya Grampus,233254,S. Akasaki,27,1991-09-01,174,70
Matsumoto Yamaga,233255,H. Takasaki,33,1986-03-17,188,78
Bulgaria,234234,G. Kostadinov,28,1990-09-07,185,75
FC Chambly Oise,234536,G. Heinry,29,1989-12-03,187,78
SKN St. Pölten,234653,M. Ambichl,28,1991-04-26,178,72
Fluminense,236196,Nito Carbelho,27,1992-02-29,181,75
Cittadella,236213,D. Diaw,27,1992-01-06,191,76
IK Sirius,237348,N. Busch Thor,33,1986-02-21,180,82
Shimizu S-Pulse,237762,Y. Kawai,29,1989-08-04,166,59
Shimizu S-Pulse,237764,R. Takeuchi,28,1991-03-08,173,66
VVV-Venlo,238014,R. Janssen,29,1990-06-16,179,80
SG Sonnenhof Großaspach,238678,K. Gehring,31,1988-02-12,193,85
Karlsruher SC,238693,M. Röser,28,1990-08-13,181,75
FC Carl Zeiss Jena,238951,R. Eckardt,29,1990-02-22,179,70
Çaykur Rizespor,241016,A. Vetrih,28,1990-09-16,181,75
Kaizer Chiefs,241769,D. Akpeyi,33,1986-03-08,187,94
Audax Italiano,242303,F. Torres,30,1989-04-27,180,78
1. FC Kaiserslautern,243529,A. Bjarnason,28,1990-11-12,193,82
Universitatea Craiova,243683,S. Acka,28,1990-10-11,182,73
Orlando Pirates,243852,B. Motshwari,28,1991-03-21,172,66
Orlando Pirates,243855,L. Mntambo,30,1989-06-03,178,73
Brøndby IF,243946,A. Erceg,29,1989-12-12,180,76
Extremadura UD,243991,Valverde,34,1985-02-19,174,67
Extremadura UD,243994,Willy,30,1989-01-23,185,77
Livingston FC,244453,K. Jacobs,29,1989-09-09,173,69
WSG Tirol,244500,F. Buchacher,31,1987-09-28,184,79
Kawasaki Frontale,244652,K. Mawatari,28,1991-06-23,175,70
Patronato,244869,G. Compagnucci,27,1991-08-29,178,73
Matsumoto Yamaga,246337,M. Iida,33,1985-09-15,187,82
Viking FK,246393,J. Furdal,33,1986-05-04,183,67
Oita Trinita,246441,R. Matsumoto,31,1988-02-25,175,68
Jaguares de Córdoba,246719,D. Ojeda,33,1985-09-25,182,80
Górnik Zabrze,246884,M. Chudý,30,1989-04-23,187,90
Oita Trinita,247315,T. Tanaka,27,1992-06-09,172,69
Dinamo Bucureşti,247895,L. Klimavicius,30,1989-04-10,191,85
FC Voluntari,248024,V. Rîmniceanu,29,1990-04-11,185,85
Rodez Aveyron Football,248768,P. Ruffaut,32,1987-06-17,182,77
Racing Santander,250886,Jon Ander,29,1990-01-16,184,78
Chindia Târgovişte,251051,C. Cherchez,28,1991-02-01,183,65
FC Juárez,251122,M. Fernández,30,1989-03-31,175,74
Al Adalah,251222,A. Guechi,28,1990-09-07,190,72
FC Hermannstadt,251682,Jô Santos,28,1991-03-31,172,69
Matsumoto Yamaga,251871,T. Sakano,29,1990-06-04,181,81
Al Adalah,252513,A. Sy,30,1989-02-10,191,86
Tottenham Hotspur,245902,T. Parrott,17,2002-02-04,175,72
Atalanta,248385,R. Piccoli,18,2001-01-27,183,78
Liverpool,238460,R. Brewster,19,2000-04-01,180,75
AS Monaco,241266,W. Geubbels,17,2001-08-16,185,72
Heart of Midlothian,241363,H. Cochrane,18,2001-04-24,178,62
Deportivo Cali,242573,D. Caicedo,19,2000-03-25,166,65
Dijon FCO,243478,E. Loiodice,18,2000-11-27,176,60
Everton,251198,E. Simms,18,2001-01-05,183,73
Hibernian,232519,G. Middleton,19,1999-12-31,176,68
